Brenden Aaronson
Dean Henderson
Jordan Henderson
Wayne Hennessey
Rico Henry
Aaron Hickey
James Hill
Jack Hinchy
Leo Hjelde
Joe Hodge
Rob Holding
Mason Holgate
Pierre-Emile Højbjerg
Will Hughes
Hugo Bueno
Hee-chan Hwang
Kelechi Iheanacho
Danny Ings
Zidane Iqbal
Alexander Isak
Daniel Iversen
Alex Iwobi
Daniel James
Reece James
Vitaly Janelt
Pontus Jansson
Mathias Jensen
Raúl Jiménez
João Cancelo
João Moutinho
João Palhinha
Joel
Joelinton
Ben Johnson
Brennan Johnson
Sam Johnstone
Curtis Jones
Phil Jones
Jonny
Jorginho
José Sá
Juan Larios
Junior Firpo
James Justin
Saša Kalajdžić
Boubacar Kamara
Harry Kane
N'Golo Kanté
Adnan Kanurić
Michael Keane
Neeskens Kebano
Thilo Kehrer
Naby Keïta
Caoimhin Kelleher
Lloyd Kelly
Kepa
Max Kilman
Kristoffer Klaesson
Mateusz Klich
Ben Knight
Robin Koch
Ibrahima Konaté
Ezri Konsa
Kalidou Koulibaly
Cheikhou Kouyaté
Mateo Kovačić
Emil Krafth
Rasmus Kristensen
Dejan Kulusevski
Garang Kuol
Layvin Kurzawa
Adam Lallana
Tariq Lamptey
Manuel Lanzini
Aymeric Laporte
Jamaal Lascelles
Roméo Lavia
Clément Lenglet
Bernd Leno
Léo Bonatini
Jefferson Lerma
Jamal Lewis
Rico Lewis
Keane Lewis-Potter
Victor Lindelöf
Jesse Lingard
Valentino Livramento
Llorente
Hugo Lloris
Ruben Loftus-Cheek
Albert Lokonga
Andy Lonergan
Matthew Longstaff
Sean Longstaff
Jamal Lowe
Lucas Moura
Lucas Paquetá
Lyanco
Brooklyn Lyons-Foster
Alexis Mac Allister
James Maddison
Harry Maguire
Riyad Mahrez
Ainsley Maitland-Niles
Tyrell Malacia
Orel Mangala
Manquillo
Sékou Mara
Marc Roca
Solly March
Emiliano Marcondes
Marquinhos
Anthony Martial
Emiliano Martínez
Lisandro Martínez
Jean-Philippe Mateta
Matheus Nunes
Joel Matip
Neal Maupay
Kevin Mbabu
Loïc Mbe Soh
Bryan Mbeumo
James McArthur
Connor McAvoy
Alex McCarthy
Thomas McGill
John McGinn
Scott McKenna
Dwight McNeil
Charlie McNeill
Scott McTominay
Ben Mee
Benjamin Mendy
Edouard Mendy
Nampalys Mendy
Teden Mengi
Chris Mepham
Illan Meslier
Luka Milivojević
Stanley Mills
James Milner
Yerry Mina
Tyrone Mings
Tyrick Mitchell
Kaoru Mitoma
Aleksandar Mitrović
Jakub Moder
Kieffer Moore
Andrew Moran
Yerson Mosquera
Louie Moulden
Mason Mount
Divin Mubama
Jacob Murphy
Enock Mwepu
Vitaliy Mykolenko
Marvelous Nakamba
Wilfred Ndidi
Reiss Nelson
Nélson Semedo
Neto
Moussa Niakhaté
Eddie Nketiah
Christian Nørgaard
Darwin Núñez
Ethan Nwaneri
Lewis O'Brien
Oliver O'Neill
Odeluga Offiah
Angelo Ogbonna
Ferdinand Okoh
Michael Olise
Robin Olsen
Amadou Onana
Joshua Onomah
Frank Onyeka
Stefan Ortega
Alex Oxlade-Chamberlain
Martin Ødegaard
Pablo Fornals
Adrion Pajaziti
Cole Palmer
Thomas Partey
Maksim Paskotši
Nathan Patterson
Lewis Payne
Ben Pearson
Myles Peart-Harris
Pedro Neto
Facundo Pellistri
Ivan Perišić
Romain Perraud
Cameron Peupion
Kalvin Phillips
Killian Phillips
Nathaniel Phillips
Jordan Pickford
Ethan Pinnock
Nick Pope
Freddie Potts
Dennis Praet
Isaac Price
Christian Pulišić
Calvin Ramsay
Aaron Ramsdale
Jacob Ramsey
Darren Randolph
Marcus Rashford
Tim Ream
Harrison Reed
Bobby Reid
Renan Lodi
Ricardo Pereira
Declan Rice
Chris Richards
Omar Richards
Richarlison
Jaïro Riedewald
Matt Ritchie
Robert Sánchez
Roberto Firmino
Andrew Robertson
Antonee Robinson
Charlie Robinson
Marek Rodák
Kaden Rodney
Rodri
Rodrigo
Mads Roerslev Rasmussen
Cristian Romero
Connor Ronan
Salomón Rondón
Joe Rothwell
Rúben Dias
Rúben Neves
Rúben Vinagre
Dominic Sadi
Allan Saint-Maximin
Bukayo Saka
Mo Salah
William Saliba
Mohammed Salisú
Davinson Sánchez
Jadon Sancho
Morgan Sanson
Matija Šarkić
Jeremy Sarmiento
Pape Sarr
Gianluca Scamacca
Fabian Schär
Jeffrey Schlupp
Kristian Sekularac
Marcos Senesi
Sergi Canós
Sergio Gómez
Ryan Sessegnon
Luke Shaw
Jonjo Shelvey
Shola Shoretire
Kamarai Simon-Swyer
Luis Sinisterra
Oliver Skipp
Gabriel Slonina
Adam Smith
